Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,GB,Jarrett Boykin,13,225,864,26.04,17.31,0,5.33,5.33,2.3,0.01
TE,ARI,Darren Fells,10,225,668,33.68,22.5,0,5.33,5.33,7.1,0.03
TE,OAK,Brian Leonhardt,12,222,756,29.37,18.5,0,3.6,3.6,9.5,0.04
WR,NYJ,Greg Salas,10,220,649,33.9,22,0.45,10.45,10.91,24.7,0.11
FB,CAR,Mike Tolbert,8,220,554,39.71,27.5,16.82,7.73,24.55,17.1,0.08
RB,BUF,Anthony Dixon,16,219,1062,20.62,13.69,47.95,4.11,52.05,60.1,0.27
WR,KC,Albert Wilson,12,216,732,29.51,18,0,12.96,12.96,26,0.12
TE,SF,Vance McDonald,8,214,539,39.7,26.75,0,3.74,3.74,1,0
TE,BUF,Chris Gragg,10,214,652,32.82,21.4,0,4.67,4.67,10.8,0.05
WR,PHI,Josh Huff,12,210,888,23.65,17.5,0.48,8.57,9.05,8.5,0.04
WR,MIA,Rishard Matthews,14,210,940,22.34,15,0.48,10.48,10.95,25.8,0.12
RB,ARI,Stepfan Taylor,14,210,926,22.68,15,30,7.14,37.14,54.7,0.26
RB,MIA,Daniel Thomas,12,209,799,26.16,17.42,21.05,9.09,30.14,40.9,0.2
FB,ATL,Patrick DiMarco,16,209,1081,19.33,13.06,0,6.7,6.7,12.2,0.06
FB,WAS,Darrel Young,16,209,1054,19.83,13.06,4.31,6.7,11,40.3,0.19
RB,NO,Travaris Cadet,15,205,1070,19.16,13.67,4.88,24.88,29.76,34.8,0.17
